Категория  | Дата | Изменения
Профиль  | 45623 | Добавлена вкладка "Профиль"
Ковролин концепты AW | 45623 | Обновление по матрице хранения коллекции AW Vittorio и Isotta 
Плитка LVT и SPC | 45623 | Добавлена плитка LVT Tarkett Ambient House
Плинтус | 45623 | Добавлен коннелюрный плинтус Bonkeel Prof
Плинтус | 45623 | Добавлен микроплинтус Bonkeel Prof
Плинтус | 45623 | Добавлен теневой плинтус Bonkeel Prof
Плинтус | 45623 | Добавлен гибкий плинтус Bonkeel Prof
Ламинат | 45623 | Убран из прайса ламинат Tarkett Holiday
Подложка | 45623 | Повышены цены на подложку пробковую 2 мм и 3 мм
  |   | Изменения 22 ноября 2024г
Ковролин концепты AW | 45618 | Изменились цены на концепты: Masquerade, Invictus, Multibrand, Sensuality, Life Story, Symphony
  |   | Изменения 15 ноября 2024г
Бытовой ковролин | 45611 | Изменились цены на коллекции AW: Dino, Racers, Nero, Ultra, Florida, Omnia, Savannah, Skye, Brooklyn Plain, Spiritus, Kiama, Vector, Stainaway Tweed, Ganges, Tribeca, Softissimo 
Бытовой ковролин | 45611 | Изменились цены на коллекции Bonkeel: Zea, Zest, Zodiak, Zephir 
Бытовой ковролин | 45611 | Добавлены новые коллекции AW: Sweet Home, Tuftex, Mirabelle Vintage, Batik, Nobilis, Parana, Dublin Twist, Cantate
Плинтус | 45611 | Повышены цены на плинтус Bonkeel Top
Подложка | 45611 | Повышены цены на подложку Bonkeel Soft
Клей | 45611 | Повышены цены на клей Homakoll
Клей | 45611 | Добавлен новый универсальный клей Bonkeel Prof
  |   | Изменения 8 ноября 2024г
Ламинат | 45604 | Повышены цены на ламинат Alsafloor 
Линолеум бытовой рулоны | 45604 | Убраны из прайса выведенные коллекции бытового линолеума Energy, Evolution, Atmosphere, Diva, Absolut
  |   | Изменения с 01 ноября 2024г
Плитка LVT и SPC | 45597 | Повышены цены на плитку SPC Bonkeel Style и Style HB 
Плитка LVT и SPC | 45597 | Добавлена новая плитка LVT Bonkeel Discostar
Подложка | 45597 | Повышены цены на подложку-гармошку Solid Синяя, 5 мм
  |   | Изменения с 24 октября 2024г
Ламинат | 45589 | Добавлена доступность "доступен по стенд. програм." на ламинат Creative, Kaindl и плитку LVT Invictus
  |   | Изменения с 22 октября 2024г
Линолеум нарезка Братец лис | 45587 | Выведен из матрицы нарезки линолеум Tarkett Energy Ettore 1 
  |   | Изменения с 18 октября 2024г
Бытовой ковролин | 45583 | Снижена цена рулона на бытовой ковролин Color Rib 
  |   | Изменения с 03 октября 2024г
